song_id,chroma_stft_mean,chroma_stft_var,mfccs_mean,mfccs_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_contrast_mean,spectral_contrast_var,tonnetz_mean,tonnetz_var,rms_mean,rms_var,spectral_rolloff_mean,spectral_rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,tempo,beat_histogram
2-step_1,0.4179306,0.090252176,2.88945,1011.8501,2602.1390321345903,1326549.6616609092,2531.335692612999,361553.5531464305,22.716242166152167,141.61619341608068,0.024623855652930935,0.009986554405987424,0.24268273,0.005067712,5340.966167449951,5164979.157379897,0.11874351501464844,0.0062792037379404055,86.1328125,[1 0 0 ... 0 0 1]
2-step_10,0.41448715,0.091127254,-3.1854517,1563.4851,3072.6284064556376,1559448.86429133,2677.7401595900965,201512.3806029888,23.32197528189425,136.58951264720304,-0.014477553563906701,0.004921720861202792,0.21262531,0.014207798,6100.945243835449,4040041.980079199,0.14629554748535156,0.01058170750256977,129.19921875,[1 0 0 ... 0 0 1]
2-step_11,0.46603814,0.0897916,2.675608,1994.5541,2674.378084649425,2012487.277651818,2880.863460785974,426056.9329711256,21.374635040037347,116.96164123623178,0.006616829110698217,0.007010442724923511,0.18934192,0.012426179,5779.915466308594,8577070.10268336,0.10618324279785156,0.00895032999556861,123.046875,[1 0 0 ... 0 0 1]
2-step_12,0.5300197,0.072782196,6.0403304,1503.1044,1699.7416842395687,595183.6771191085,2123.2979117598143,307285.6592447993,22.24043712079614,134.60475243368722,-0.029556896376501624,0.003106166259165997,0.26848385,0.005025262,3682.77494430542,3242775.5342508317,0.04817390441894531,0.0013975629895867313,92.28515625,[1 0 0 ... 0 0 1]
2-step_13,0.5086388,0.077994175,6.035571,1341.6332,2276.037159147444,1317035.5320653648,2466.8872034105816,419116.346759956,21.308284581826143,141.9374689738033,0.014404825133716702,0.0035043239350767796,0.2814351,0.0059293443,4818.05419921875,5436434.943619184,0.07059783935546875,0.0032209610356949267,89.10290948275862,[1 0 0 ... 0 0 1]
2-step_14,0.4730309,0.092825316,5.407785,1307.3833,2443.0420702453207,1022778.151877708,2732.402511613565,203643.06277600405,22.4861169815084,147.95389151252195,0.009073840563740814,0.0058420733286084865,0.24566504,0.0031191006,5542.772655487061,3543936.800953786,0.05971870422363281,0.0030270928108075174,135.99917763157896,[1 0 0 ... 0 0 1]
2-step_15,0.40165845,0.08779175,3.4933734,543.8419,3044.8356966957112,487709.2016899202,2648.9178483951123,113165.65079902927,23.5499417665185,152.86746089576735,-0.0047252555567565075,0.004768243461519064,0.26150748,0.005345839,6023.921985626221,1814923.3712908167,0.16837539672851562,0.005134094175300561,92.28515625,[1 0 0 ... 0 0 1]
2-step_16,0.4961256,0.086987406,2.6583383,843.7128,3143.535972321444,981799.548587344,2831.960088175786,171882.1836577197,21.846261405152564,150.07559429708948,-0.010016554343031966,0.0033393879820302046,0.25829396,0.028129578,6554.479923248291,2605434.6070317524,0.16077003479003907,0.011359808302804596,129.19921875,[1 0 0 ... 0 0 1]
2-step_17,0.42494965,0.10391471,1.3828416,1232.3,2591.798927056028,2050660.4143893425,2249.9793053107073,367482.6416157471,23.161361436302553,145.42524210153127,-0.008567789635195111,0.0037649209949362082,0.2911804,0.018441003,4921.834144592285,5649940.505067584,0.12973518371582032,0.009433204306842528,129.19921875,[1 0 0 ... 0 0 1]
2-step_18,0.38772842,0.08770817,5.994854,677.6796,3122.8647668090516,994754.3688587553,2845.2543691335763,148134.2268697563,23.73361491215608,119.74631411559068,0.022874368976519687,0.013354638942116071,0.23070352,0.004853828,6442.818489074707,2955027.502163952,0.133160400390625,0.0035090126469731328,129.19921875,[1 0 0 ... 0 0 1]
2-step_19,0.45723394,0.10098335,0.3775102,3459.319,1707.7151077291032,1962650.0843323604,1940.694721421253,760727.9441166215,22.75099282078116,138.4371496479318,-0.005561107797347424,0.016296983560793208,0.27189073,0.01306881,3399.663791656494,8536253.973223235,0.06035041809082031,0.005276898256124696,135.99917763157896,[1 0 0 ... 0 0 1]
2-step_2,0.41960284,0.08156531,2.1630912,706.1575,2817.3861376784444,639625.188075174,2695.5055093347105,166437.02037953975,23.16654053336991,131.04105703365946,0.01776789948250141,0.009988839012917927,0.2449619,0.008544066,5836.011142730713,2766810.93176578,0.13254928588867188,0.0036250658420613037,89.10290948275862,[1 0 0 ... 0 0 1]
2-step_20,0.48868588,0.08851852,6.084678,949.6574,2888.126716523029,2068946.2070748922,2786.4421261493358,343767.9488343001,21.218649229978713,138.28471365613385,0.0015927898268334384,0.0013577074773879665,0.31769007,0.010102396,6086.746788024902,5625633.618212211,0.13023681640625,0.012277183905243873,92.28515625,[1 0 0 ... 0 0 1]
2-step_21,0.3765949,0.10683612,-0.6557456,2309.9841,2522.0008018467024,917521.2945150122,2625.062588122583,173076.372695931,24.250560807510336,139.0805005253909,0.03411035439149309,0.014454907354685123,0.15016839,0.006266055,5387.203674316406,3648557.2524237437,0.08056411743164063,0.004498551035649144,129.19921875,[1 0 0 ... 0 0 1]
2-step_22,0.50598943,0.0850227,3.4508731,1020.4613,3055.986642878436,1386468.5167761256,2782.1937549066733,226695.0142707285,21.812240340673267,141.92278401373343,-0.0020538427234788764,0.0043283709124476094,0.19825552,0.003582264,6272.832355499268,3643152.669111627,0.14892501831054689,0.008422891422524118,135.99917763157896,[1 0 0 ... 0 0 1]
